symbol,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
AAPL,1997-10-30,0.152344,0.156808,0.147321,0.147321,0.127306,188955200.0,188955200.0,-0.00502,-3.295,0.15048,October 30, 97,-0.03295
AAPL,1997-10-29,0.164621,0.165179,0.154018,0.15625,0.135022,177587200.0,177587200.0,-0.00837,-5.084,0.15848,October 29, 97,-0.05084
AAPL,1997-10-28,0.142857,0.165179,0.141741,0.16183,0.139844,343313600.0,343313600.0,0.01897,13.279,0.15625,October 28, 97,0.13279
AAPL,1997-10-27,0.149554,0.16183,0.149554,0.149554,0.129235,329358400.0,329358400.0,0.0,0.0,0.15365,October 27, 97,0.0
AAPL,1997-10-24,0.16183,0.164063,0.147321,0.147879,0.127788,388236800.0,388236800.0,-0.01395,-8.62,0.15309,October 24, 97,-0.0862
AAPL,1997-10-23,0.160714,0.162388,0.158482,0.158482,0.136951,186782400.0,186782400.0,-0.00223,-1.388,0.15978,October 23, 97,-0.01388
AAPL,1997-10-22,0.170201,0.171875,0.165179,0.165737,0.143219,151177600.0,151177600.0,-0.00446,-2.62,0.1676,October 22, 97,-0.0262
AAPL,1997-10-21,0.168527,0.172433,0.166853,0.170201,0.147077,475272000.0,475272000.0,0.00167,0.991,0.16983,October 21, 97,0.00991
AAPL,1997-10-20,0.179688,0.180246,0.166295,0.166853,0.144184,411835200.0,411835200.0,-0.01283,-7.14,0.17113,October 20, 97,-0.0714
AAPL,1997-10-17,0.188616,0.188616,0.177455,0.179688,0.155275,438670400.0,438670400.0,-0.00893,-4.734,0.18192,October 17, 97,-0.04734
AAPL,1997-10-16,0.188616,0.196987,0.186384,0.191964,0.165884,739188800.0,739188800.0,0.00335,1.776,0.19178,October 16, 97,0.01776
AAPL,1997-10-15,0.197545,0.220982,0.197545,0.212612,0.183726,810868800.0,810868800.0,0.01507,7.629,0.21038,October 15, 97,0.07629
AAPL,1997-10-14,0.202567,0.203125,0.198103,0.202567,0.175046,165816000.0,165816000.0,0.0,0.0,0.20127,October 14, 97,0.0
AAPL,1997-10-13,0.203125,0.204241,0.198103,0.202567,0.175046,158625600.0,158625600.0,-0.00056,-0.276,0.20164,October 13, 97,-0.00276
AAPL,1997-10-10,0.191964,0.203125,0.191964,0.202567,0.175046,270401600.0,270401600.0,0.0106,5.522,0.19922,October 10, 97,0.05522
AAPL,1997-10-09,0.189732,0.200893,0.189174,0.194196,0.167813,187331200.0,187331200.0,0.00446,2.351,0.19475,October 09, 97,0.02351
AAPL,1997-10-08,0.194196,0.194754,0.19029,0.191964,0.165884,108841600.0,108841600.0,-0.00223,-1.148,0.19234,October 08, 97,-0.01148
AAPL,1997-10-07,0.195313,0.196429,0.194754,0.194754,0.168295,109289600.0,109289600.0,-0.00056,-0.287,0.19531,October 07, 97,-0.00287
AAPL,1997-10-06,0.198103,0.198661,0.193638,0.195871,0.169259,93296000.0,93296000.0,-0.00223,-1.126,0.19606,October 06, 97,-0.01126
AAPL,1997-10-03,0.196429,0.198661,0.193638,0.197545,0.170706,162232000.0,162232000.0,0.00112,0.57,0.19661,October 03, 97,0.0057
AAPL,1997-10-02,0.191406,0.196429,0.190848,0.195871,0.169259,135408000.0,135408000.0,0.00446,2.33,0.19438,October 02, 97,0.0233
AAPL,1997-10-01,0.193638,0.194196,0.190848,0.192243,0.166125,130468800.0,130468800.0,-0.0014,-0.723,0.19243,October 01, 97,-0.00723
AAPL,1997-09-30,0.196429,0.199219,0.193638,0.193638,0.167331,140571200.0,140571200.0,-0.00279,-1.42,0.1955,September 30, 97,-0.0142
AAPL,1997-09-29,0.193638,0.198661,0.192522,0.196987,0.170224,167238400.0,167238400.0,0.00335,1.73,0.19606,September 29, 97,0.0173
AAPL,1997-09-26,0.191964,0.195871,0.188616,0.19029,0.164437,208320000.0,208320000.0,-0.00167,-0.87,0.19159,September 26, 97,-0.0087
AAPL,1997-09-25,0.19029,0.194196,0.1875,0.188616,0.162991,223384000.0,223384000.0,-0.00167,-0.878,0.1901,September 25, 97,-0.00878
AAPL,1997-09-24,0.193638,0.194196,0.190848,0.191964,0.165884,222432000.0,222432000.0,-0.00167,-0.862,0.19234,September 24, 97,-0.00862
AAPL,1997-09-23,0.198661,0.198661,0.193638,0.194196,0.167813,200536000.0,200536000.0,-0.00446,-2.245,0.1955,September 23, 97,-0.02245
AAPL,1997-09-22,0.197545,0.205915,0.196429,0.203683,0.17601,200368000.0,200368000.0,0.00614,3.108,0.20201,September 22, 97,0.03108
AAPL,1997-09-19,0.198103,0.198103,0.194196,0.195871,0.169259,94931200.0,94931200.0,-0.00223,-1.126,0.19606,September 19, 97,-0.01126
AAPL,1997-09-18,0.191964,0.200893,0.191964,0.199219,0.172153,169164800.0,169164800.0,0.00726,3.782,0.19736,September 18, 97,0.03782
AAPL,1997-09-17,0.196429,0.196429,0.193638,0.194754,0.168295,86766400.0,86766400.0,-0.00167,-0.85,0.19494,September 17, 97,-0.0085
AAPL,1997-09-16,0.196987,0.197684,0.194196,0.195871,0.169259,134220800.0,134220800.0,-0.00112,-0.569,0.19592,September 16, 97,-0.00569
AAPL,1997-09-15,0.195313,0.197545,0.191964,0.191964,0.165884,96913600.0,96913600.0,-0.00335,-1.715,0.19382,September 15, 97,-0.01715
AAPL,1997-09-12,0.198103,0.198661,0.191406,0.196987,0.170224,113680000.0,113680000.0,-0.00112,-0.565,0.19568,September 12, 97,-0.00565
AAPL,1997-09-11,0.204241,0.205357,0.196987,0.199777,0.172635,209876800.0,209876800.0,-0.00446,-2.184,0.20071,September 11, 97,-0.02184
AAPL,1997-09-10,0.194196,0.206473,0.193638,0.204799,0.176975,274064000.0,274064000.0,0.0106,5.458,0.20164,September 10, 97,0.05458
AAPL,1997-09-09,0.19029,0.195313,0.189732,0.194754,0.168295,159028800.0,159028800.0,0.00446,2.344,0.19327,September 09, 97,0.02344
AAPL,1997-09-08,0.198661,0.198661,0.191406,0.191964,0.165884,175156800.0,175156800.0,-0.0067,-3.373,0.19401,September 08, 97,-0.03373
AAPL,1997-09-05,0.202009,0.204241,0.196429,0.198103,0.171188,136707200.0,136707200.0,-0.00391,-1.936,0.19959,September 05, 97,-0.01936
AAPL,1997-09-04,0.201451,0.204241,0.198661,0.200893,0.173599,122539200.0,122539200.0,-0.00056,-0.278,0.20127,September 04, 97,-0.00278
AAPL,1997-09-03,0.199777,0.207589,0.199219,0.200893,0.173599,284132800.0,284132800.0,0.00112,0.561,0.20257,September 03, 97,0.00561
AAPL,1997-09-02,0.196429,0.201451,0.195871,0.199777,0.172635,186043200.0,186043200.0,0.00335,1.705,0.19903,September 02, 97,0.01705
AAPL,1997-08-29,0.194754,0.196429,0.191964,0.194196,0.167813,109670400.0,109670400.0,-0.00056,-0.288,0.1942,August 29, 97,-0.00288
AAPL,1997-08-28,0.197545,0.200893,0.196429,0.196429,0.169742,95670400.0,95670400.0,-0.00112,-0.567,0.19792,August 28, 97,-0.00567
AAPL,1997-08-27,0.199777,0.203125,0.195313,0.202567,0.175046,190635200.0,190635200.0,0.00279,1.397,0.20034,August 27, 97,0.01397
AAPL,1997-08-26,0.202009,0.205357,0.197545,0.198661,0.171671,226206400.0,226206400.0,-0.00335,-1.658,0.20052,August 26, 97,-0.01658
AAPL,1997-08-25,0.210938,0.211496,0.204799,0.205915,0.177939,138633600.0,138633600.0,-0.00502,-2.38,0.2074,August 25, 97,-0.0238
AAPL,1997-08-22,0.209263,0.214286,0.208705,0.210938,0.182279,227628800.0,227628800.0,0.00167,0.798,0.21131,August 22, 97,0.00798
AAPL,1997-08-21,0.21875,0.220424,0.21317,0.214286,0.185173,259280000.0,259280000.0,-0.00446,-2.039,0.21596,August 21, 97,-0.02039
AAPL,1997-08-20,0.218192,0.22433,0.21596,0.219866,0.189995,324307200.0,324307200.0,0.00167,0.765,0.22005,August 20, 97,0.00765
AAPL,1997-08-19,0.211496,0.21875,0.208147,0.218192,0.188548,289161600.0,289161600.0,0.0067,3.168,0.21503,August 19, 97,0.03168
AAPL,1997-08-18,0.208147,0.212054,0.203125,0.210938,0.182279,217840000.0,217840000.0,0.00279,1.34,0.20871,August 18, 97,0.0134
AAPL,1997-08-15,0.206473,0.209263,0.203683,0.207589,0.179386,260960000.0,260960000.0,0.00112,0.542,0.20685,August 15, 97,0.00542
AAPL,1997-08-14,0.210938,0.216518,0.202567,0.205357,0.177457,434448000.0,434448000.0,-0.00558,-2.645,0.20815,August 14, 97,-0.02645
AAPL,1997-08-13,0.198661,0.21317,0.182478,0.210938,0.182279,1201424000.0,1201424000.0,0.01228,6.181,0.2022,August 13, 97,0.06181
AAPL,1997-08-12,0.214844,0.216518,0.195313,0.196987,0.170224,1048398400.0,1048398400.0,-0.01786,-8.313,0.20294,August 12, 97,-0.08313
AAPL,1997-08-11,0.234933,0.236049,0.209821,0.219308,0.189513,1550998400.0,1550998400.0,-0.01563,-6.653,0.22173,August 11, 97,-0.06653
AAPL,1997-08-08,0.248326,0.253348,0.233259,0.239397,0.206873,1814164800.0,1814164800.0,-0.00893,-3.596,0.242,August 08, 97,-0.03596
AAPL,1997-08-07,0.256696,0.263951,0.253348,0.260603,0.225197,3755438400.0,3755438400.0,0.00391,1.523,0.2593,August 07, 97,0.01523
AAPL,1997-08-06,0.225446,0.247768,0.223214,0.234933,0.203015,4190480000.0,4190480000.0,0.00949,4.209,0.23531,August 06, 97,0.04209
AAPL,1997-08-05,0.178013,0.178571,0.173968,0.176339,0.152382,247128000.0,247128000.0,-0.00167,-0.938,0.17629,August 05, 97,-0.00938
AAPL,1997-08-04,0.171317,0.176897,0.171317,0.176339,0.152382,611318400.0,611318400.0,0.00502,2.93,0.17485,August 04, 97,0.0293
